state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,percent_votes,rank,Status
Maharashtra,Mumbai North East,Patil Sanjay Dina,Nationalist Congress Party,287555,558,288113,31.7,2,Lost
Maharashtra,Mumbai North East,Niharika Prakashchandra Khondalay,Vanchit Bahujan Aaghadi,68089,150,68239,7.51,3,Lost
Maharashtra,Mumbai North East,NOTA,None of the Above,12446,20,12466,1.37,4,Lost
Maharashtra,Mumbai North East,Sanjay Chandrabahadur Singh (Kunwar),Bahujan Samaj Party,7770,7,7777,0.86,5,Lost
Maharashtra,Mumbai North East,Shahajirao Dhondiba Thorat,Independent,2063,0,2063,0.23,6,Lost
Maharashtra,Mumbai North East,Jaywant Shriram Sawant (Pappa),Independent,1878,3,1881,0.21,7,Lost
Maharashtra,Mumbai North East,Jatin Rangrao Harne,Independent,1573,0,1573,0.17,8,Lost
Maharashtra,Mumbai North East,Adv. Ganesh Iyer,Bahujan Maha Party,1336,0,1336,0.15,9,Lost
Maharashtra,Mumbai North East,Kurhade Sneha Ravindra,Independent,1267,0,1267,0.14,10,Lost
Maharashtra,Mumbai North East,Shahina Parveen Shakil Ahmed Khan,Independent,834,0,834,0.09,11,Lost
Maharashtra,Mumbai North East,Sushma Maurya,Jan Adhikar Party,820,0,820,0.09,12,Lost
Maharashtra,Mumbai North East,Jitendra Kumar Nanaku Pal,Independent,779,0,779,0.09,13,Lost
Maharashtra,Mumbai North East,Shrikant Suburao Shinde,Bahujan Mukti Party,726,1,727,0.08,14,Lost
Maharashtra,Mumbai North East,Dandge Sukhdev Chandu,Ambedkarite Party of India,711,0,711,0.08,15,Lost
Maharashtra,Mumbai North East,Anil Hebbar Koni,Independent,677,0,677,0.07,16,Lost
Maharashtra,Mumbai North East,Bhaskar Mohan Gaud,Independent,629,0,629,0.07,17,Lost
Maharashtra,Mumbai North East,Shahenaz Begum Mohd Siraj Khan,Rashtriya Ulama Council,569,1,570,0.06,18,Lost
Maharashtra,Mumbai North East,Nutan Sharad Kumar Singh,Aapki Apni Party (Peoples),565,1,566,0.06,19,Lost
Maharashtra,Mumbai North East,Vinod Narayan Chaugule,Sanatan Sanskriti Raksha Dal,564,0,564,0.06,20,Lost
Maharashtra,Mumbai North East,Jayashri Minesh Shah,Bhartiya Manavadhikaar Federal Party,535,1,536,0.06,21,Lost
Maharashtra,Mumbai North East,Adv. Vijay Janardan Shiktode,Bahujan Republican  Socialist Party,462,1,463,0.05,22,Lost
Maharashtra,Mumbai North East,Pravin Chandrakant Kedare,Independent,388,0,388,0.04,23,Lost
Maharashtra,Mumbai North East,Thoke Baban Sopan,Independent,344,0,344,0.04,24,Lost
Maharashtra,Mumbai North East,Dayanand Jagannath Sohani,Independent,296,0,296,0.03,25,Lost
Maharashtra,Mumbai North East,Deepak Digambar Shinde,Independent,291,1,292,0.03,26,Lost
Maharashtra,Mumbai North East,Nilesh Ramchandra Kudtarkar,Independent,264,0,264,0.03,27,Lost
Maharashtra,Mumbai North East,Rakesh Sambhaji Raul,Independent,218,1,219,0.02,28,Lost
Maharashtra,Mumbai North West,Gajanan Kirtikar,Shivsena,569018,1045,570063,60.55,1,Won
Maharashtra,Mumbai North West,Sanjay Nirupam,Indian National Congress,309517,218,309735,32.9,2,Lost
Maharashtra,Mumbai North West,Suresh Sundar Shetty,Vanchit Bahujan Aaghadi,23367,55,23422,2.49,3,Lost
Maharashtra,Mumbai North West,NOTA,None of the Above,18185,40,18225,1.94,4,Lost
Maharashtra,Mumbai North West,Subhash Passi,Samajwadi Party,5847,3,5850,0.62,5,Lost
Maharashtra,Mumbai North West,Ajay Kailashnath Dubey,Jan Adhikar Party,2081,2,2083,0.22,6,Lost
Maharashtra,Mumbai North West,Prabhakar Tarapado Sadhu,Independent,1912,0,1912,0.2,7,Lost
Maharashtra,Mumbai North West,Madan Banwarilal Agrawal,Independent,1300,0,1300,0.14,8,Lost
Maharashtra,Mumbai North West,Arora Surinder Mohan,Bharat Jan Aadhar Party,1180,0,1180,0.13,9,Lost
Maharashtra,Mumbai North West,Chhaya Sunil Tiwari,Janata Congress,1158,0,1158,0.12,10,Lost
Maharashtra,Mumbai North West,Gajanan Tukaram Sonkamble,Independent,848,0,848,0.09,11,Lost
Maharashtra,Mumbai North West,Shakuntala Mariya Kushalkar,Prabuddha Republican Party,749,0,749,0.08,12,Lost
Maharashtra,Mumbai North West,Adv. Mitesh Varshney,Independent,638,0,638,0.07,13,Lost
Maharashtra,Mumbai North West,Chandrashekhar Sharma,Bhartiya Manavadhikaar Federal Party,574,0,574,0.06,14,Lost
Maharashtra,Mumbai North West,Sanjay Vishwanath Sakpal,Independent,555,0,555,0.06,15,Lost
Maharashtra,Mumbai North West,Aftab Mashwood Khan,Independent,499,0,499,0.05,16,Lost
Maharashtra,Mumbai North West,Vijay Marothi Koyale,Rashtriya Maratha Party,489,2,491,0.05,17,Lost
Maharashtra,Mumbai North West,Dharmendra Shriram Pal,Rashtravadi Kranti Dal,475,0,475,0.05,18,Lost
Maharashtra,Mumbai North West,Shaikh Abusalim Arunahak,Rashtriya Ulama Council,449,0,449,0.05,19,Lost
Maharashtra,Mumbai North West,Shashikant Kundalik Kadam,Independent,442,1,443,0.05,20,Lost
Maharashtra,Mumbai North West,Harishankar Shivpujan Yadav,Aapki Apni Party (Peoples),441,0,441,0.05,21,Lost
Maharashtra,Mumbai North West,Vijendra Kumar Rai,Independent,407,0,407,0.04,22,Lost
Maharashtra,Mumbai South central,Rahul Ramesh Shewale,Shivsena,423743,1170,424913,53.3,1,Won
Maharashtra,Mumbai South central,Eknath M. Gaikwad,Indian National Congress,272393,381,272774,34.21,2,Lost
Maharashtra,Mumbai South central,Bhosale Sanjay Sushil,Vanchit Bahujan Aaghadi,63256,156,63412,7.95,3,Lost
Maharashtra,Mumbai South central,NOTA,None of the Above,13795,39,13834,1.74,4,Lost
Maharashtra,Mumbai South central,Ahmed Shakil Sagir Ahmed Shaikh,Bahujan Samaj Party,8623,12,8635,1.08,5,Lost
Maharashtra,Mumbai South central,Godfrey Noble,Desiya Makkal Sakthi Katchi,2198,1,2199,0.28,6,Lost
Maharashtra,Mumbai South central,Sheetaltai Sasane,Independent,1756,3,1759,0.22,7,Lost
Maharashtra,Mumbai South central,Dalvi Raju Sahebrao,Independent,1353,0,1353,0.17,8,Lost
Maharashtra,Mumbai South central,Deepak Bhagoji Kamble,Ambedkarite Party of India,1154,1,1155,0.14,9,Lost
Maharashtra,Mumbai South central,Vikas Maruti Rokade,Independent,1103,0,1103,0.14,10,Lost
Maharashtra,Mumbai South central,Anita Kiran Patole,Independent,972,4,976,0.12,11,Lost
Maharashtra,Mumbai South central,Mohammad Hayat Mohammad Husain Shaikh,Peace Party,968,0,968,0.12,12,Lost
Maharashtra,Mumbai South central,Yoganand Nadar,Aapki Apni Party (Peoples),882,1,883,0.11,13,Lost
Maharashtra,Mumbai South central,Adv. More Yogesh Vitthal,Bahujan Republican  Socialist Party,707,1,708,0.09,14,Lost
Maharashtra,Mumbai South central,Santosh Shrivastav,Independent,677,0,677,0.08,15,Lost
Maharashtra,Mumbai South central,Balasaheb Jagannath Sable,Bhartiya Manavadhikaar Federal Party,665,0,665,0.08,16,Lost
Maharashtra,Mumbai South central,Baddy Hemantkumar Reddy,Bahujan Mukti Party,645,2,647,0.08,17,Lost
Maharashtra,Mumbai South central,Adv. Mahendra Tulshiram Bhingardive,Anti Corruption Dynamic Party,588,1,589,0.07,18,Lost
Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,657624,2597,660221,55.67,1,Won
Maharashtra,Nagpur,NANA PATOLE,Indian National Congress,442765,1447,444212,37.45,2,Lost
Maharashtra,Nagpur,MOHAMMAD JAMAL,Bahujan Samaj Party,31654,71,31725,2.67,3,Lost
Maharashtra,Nagpur,MANOHAR Alias SAGAR PUNDLIKRAO DABRASE,Vanchit Bahujan Aaghadi,25993,135,26128,2.2,4,Lost
Maharashtra,Nagpur,NOTA,None of the Above,4538,40,4578,0.39,5,Lost
Maharashtra,Nagpur,ADV. (DR.) MANE SURESH,Bahujan Republican  Socialist Party,3387,25,3412,0.29,6,Lost
Maharashtra,Nagpur,SHRIDHAR NARAYAN SALVE,Rashtriya Jansambhavna Party,2121,0,2121,0.18,7,Lost
Maharashtra,Nagpur,SAHIL BALCHAND TURKAR,Bhartiya Manavadhikaar Federal Party,2003,0,2003,0.17,8,Lost
Maharashtra,Nagpur,UDAY RAMBHAUJI BORKAR,Independent,1321,1,1322,0.11,9,Lost
Maharashtra,Nagpur,ADV. VIJAYA DILIP BAGDE,Ambedkarite Party of India,1178,4,1182,0.1,10,Lost
Maharashtra,Nagpur,GOPALKUMAR GANESHU KASHYAP,Chhattisgarh Swabhiman Manch,1169,0,1169,0.1,11,Lost
Maharashtra,Nagpur,DR. VINOD KASHIRAM BADOLE,Akhil Bhartiya Sarvadharma Samaj Party,734,1,735,0.06,12,Lost
Maharashtra,Nagpur,ALI ASHFAQUE AHMED,Bahujan Mukti Party,719,5,724,0.06,13,Lost
Maharashtra,Nagpur,ASIM ALI,Minorities Democratic Party,672,1,673,0.06,14,Lost
Maharashtra,Nagpur,SACHIN JAGORAO PATIL,Independent,632,1,633,0.05,15,Lost
Maharashtra,Nagpur,RUBEN DOMNIK FRANCIS,Independent,608,0,608,0.05,16,Lost
Maharashtra,Nagpur,VITTHAL NANAJI GAIKWAD,Hum Bhartiya Party,482,0,482,0.04,17,Lost
Maharashtra,Nagpur,VANITA JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,480,0,480,0.04,18,Lost
Maharashtra,Nagpur,SUNIL SURYABHAN KAWADE,Independent,417,0,417,0.04,19,Lost
Maharashtra,Nagpur,DR. MANISHA BANGAR,Peoples Party of India (Democratic),397,3,400,0.03,20,Lost
Maharashtra,Nagpur,PRAFULLA MANIKCHAND BHANGE,Independent,358,1,359,0.03,21,Lost
Maharashtra,Nagpur,MANOJ KOTHUJI BAWANE,Independent,331,0,331,0.03,22,Lost
Maharashtra,Nagpur,Adv. Ulhas Shalikram Dupare,Independent,299,0,299,0.03,23,Lost
Maharashtra,Nagpur,COMRADE YOGESH KRISHNARAO THAKARE,Communist Party of India (Marxist-Leninist) Red Star,281,0,281,0.02,24,Lost
Maharashtra,Nagpur,DIKSHITA ANAND TEMBHURNE,Desh Janhit Party,273,0,273,0.02,25,Lost
Maharashtra,Nagpur,SIDDHARTH ASARAM KURVE,Independent,247,0,247,0.02,26,Lost
Maharashtra,Nagpur,SATISH VITTHAL NIKHAR,Independent,235,2,237,0.02,27,Lost
Maharashtra,Nagpur,Dipak Laxmanrao Maske,Independent,233,2,235,0.02,28,Lost
Maharashtra,Nagpur,SACHIN HARIDAS SOMKUWAR,Independent,227,0,227,0.02,29,Lost
Maharashtra,Nagpur,KARTIK GENDALAL DOKE,Independent,181,0,181,0.02,30,Lost
Maharashtra,Nagpur,PRABHAKAR KRUSHNAJI SATPAISE,Independent,156,0,156,0.01,31,Lost
Maharashtra,Nanded,Prataprao Patil Chikhalikar,Bharatiya Janata Party,482148,4658,486806,43.1,1,Won
Maharashtra,Nanded,Ashok Shankarrao Chavan,Indian National Congress,442138,4520,446658,39.55,2,Lost
Maharashtra,Nanded,Bhinge Yashpal Narsingrao,Vanchit Bahujan Aaghadi,165341,855,166196,14.72,3,Lost
Maharashtra,Nanded,NOTA,None of the Above,6080,34,6114,0.54,4,Lost
Maharashtra,Nanded,Abdul Raees Ahemad S/o Abdul Jabbar,Ambedkar National Congress,4143,4,4147,0.37,5,Lost
Maharashtra,Nanded,Dr. Mahesh Prakashrao Talegaonkar,Independent,3776,2,3778,0.33,6,Lost
Maharashtra,Nanded,Madhavrao Sambhajee Gaikwad (Panchsheel),Independent,3294,1,3295,0.29,7,Lost
Maharashtra,Nanded,Shivanand Ashokrao Deshmukh,Independent,2762,1,2763,0.24,8,Lost
Maharashtra,Nanded,Abdul Samad Abdul Karim,Samajwadi Party,2467,8,2475,0.22,9,Lost
Maharashtra,Nanded,Ranjit Gangadharrao Deshmukh,Independent,1787,1,1788,0.16,10,Lost
Maharashtra,Nanded,Dr. Manish Dattataray Wadje,Independent,1452,1,1453,0.13,11,Lost
Maharashtra,Nanded,Mohan Anandrao Waghmare,Bahujan Mukti Party,1424,6,1430,0.13,12,Lost
Maharashtra,Nanded,Ashokrao Shankarrao Chavan,Independent,934,4,938,0.08,13,Lost
Maharashtra,Nanded,Kadam Shrirang Uttamrao,Independent,848,0,848,0.08,14,Lost
Maharashtra,Nanded,Sonsale Sunil Manoharrao,Bahujan Republican  Socialist Party,661,0,661,0.06,15,Lost
Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,637226,1910,639136,49.86,1,Won
Maharashtra,Nandurbar,Adv. K. C. Padavi,Indian National Congress,541930,1577,543507,42.4,2,Lost
Maharashtra,Nandurbar,Anturlikar Sushil Suresh,Vanchit Bahujan Aaghadi,25594,108,25702,2.01,3,Lost
Maharashtra,Nandurbar,NOTA,None of the Above,21902,23,21925,1.71,4,Lost
Maharashtra,Nandurbar,Dr. Natawadkar Suhas Jayant,Independent,13722,98,13820,1.08,5,Lost
Maharashtra,Nandurbar,Rekha Suresh Desai,Bahujan Samaj Party,11452,14,11466,0.89,6,Lost
Maharashtra,Nandurbar,Koli Ananda Sukalal,Independent,7183,2,7185,0.56,7,Lost
Maharashtra,Nandurbar,Ashok Daulatsing Padvi,Independent,4929,1,4930,0.38,8,Lost
Maharashtra,Nandurbar,Ajay Karamsing Gavit,Independent,4492,5,4497,0.35,9,Lost
Maharashtra,Nandurbar,Krishna Thoga Gavit,Bhartiya Tribal Party,4433,5,4438,0.35,10,Lost
Maharashtra,Nandurbar,Arjunsing Diwansing Vasave,Independent,2935,1,2936,0.23,11,Lost
Maharashtra,Nandurbar,Sandip Abhimanyu Valvi,Bahujan Mukti Party,2193,3,2196,0.17,12,Lost
Maharashtra,Nashik,Godse Hemant Tukaram,Shivsena,562034,1565,563599,50.27,1,Won
Maharashtra,Nashik,Sameer Magan Bhujbal,Nationalist Congress Party,270854,541,271395,24.21,2,Lost
Maharashtra,Nashik,Adv. Kokate Manikrao Shivajirao,Independent,134229,298,134527,12,3,Lost
Maharashtra,Nashik,Pavan Chandrakant Pawar,Vanchit Bahujan Aaghadi,109836,145,109981,9.81,4,Lost
Maharashtra,Nashik,NOTA,None of the Above,6952,28,6980,0.62,5,Lost
Maharashtra,Nashik,Jawale Soniya Ramnath,Bhartiya Tribal Party,6911,41,6952,0.62,6,Lost
Maharashtra,Nashik,Adv. Ahire Vaibhav Shantaram,Bahujan Samaj Party,5685,34,5719,0.51,7,Lost
Maharashtra,Nashik,Devidas Piraji Sarkate,Independent,4274,0,4274,0.38,8,Lost
